,post_id,post_created,post_text,user_id,followers,friends,favourites,statuses,retweets,label
0,6.37895E+17,Sun Aug 30 07:48:37 +0000 2015,It's just over 2 years since I was diagnosed with #anxiety and #depression. Today I'm taking a moment to reflect on how far I've come since.,1013187241,84,211,251,837,0,1
1,6.3789E+17,Sun Aug 30 07:31:33 +0000 2015,"It's Sunday, I need a break, so I'm planning to spend as little time as possible on the #A14...",1013187241,84,211,251,837,1,1
2,6.37749E+17,Sat Aug 29 22:11:07 +0000 2015,Awake but tired. I need to sleep but my brain has other ideas...,1013187241,84,211,251,837,0,1
3,6.37696E+17,Sat Aug 29 18:40:49 +0000 2015,RT @SewHQ: #Retro bears make perfect gifts and are great for beginners too! Get stitching with October's Sew on sale NOW! #yay http://t.co/…,1013187241,84,211,251,837,2,1
4,6.37696E+17,Sat Aug 29 18:40:26 +0000 2015,It’s hard to say whether packing lists are making life easier or just reinforcing how much still needs doing... #movinghouse #anxiety,1013187241,84,211,251,837,1,1
5,6.37693E+17,Sat Aug 29 18:26:24 +0000 2015,Making packing lists is my new hobby... #movinghouse,1013187241,84,211,251,837,1,1
6,6.37692E+17,Sat Aug 29 18:21:51 +0000 2015,At what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding...? #movinghouse,1013187241,84,211,251,837,1,1
7,6.37689E+17,Sat Aug 29 18:12:59 +0000 2015,Currently in the finding-boxes-of-random-shit packing phase. I think I’m a closet hoarder...,1013187241,84,211,251,837,0,1
8,6.37687E+17,Sat Aug 29 18:04:05 +0000 2015,"Can't be bothered to cook, take away on the way 😁👍🏼 #lazy",1013187241,84,211,251,837,0,1
9,6.37685E+17,Sat Aug 29 17:54:54 +0000 2015,RT @itventsnews: ITV releases promo video for the final series of Downton Abbey http://t.co/mC8Ive72zR http://t.co/CFBKrRvJIs,1013187241,84,211,251,837,41,1
10,6.37685E+17,Sat Aug 29 17:54:08 +0000 2015,"... also, I have too much stuff. Way, way too much #movinghouse",1013187241,84,211,251,837,1,1
11,6.37684E+17,Sat Aug 29 17:52:44 +0000 2015,I never want to put one of these together again #lotharderthanitlooks http://t.co/70ujlTCKlB,1013187241,84,211,251,837,0,1
12,6.37555E+17,Sat Aug 29 09:19:29 +0000 2015,Moving stuff is bloomin’ knackering... and there’s still loads to do... 😥,1013187241,84,211,251,837,0,1
13,6.37551E+17,Sat Aug 29 09:02:08 +0000 2015,"Back at the house, moving stuff. It’s so peaceful here... I ❤️ 🏡 😊",1013187241,84,211,251,837,0,1
14,6.37314E+17,Fri Aug 28 17:22:02 +0000 2015,Urgh. Anxiety. FFS where does it come from?! (Breathe...),1013187241,84,211,251,837,0,1
15,6.37311E+17,Fri Aug 28 17:07:45 +0000 2015,"I have too much stuff. Way, way too much... Massive purge on the way.",1013187241,84,211,251,837,0,1
16,6.37224E+17,Fri Aug 28 11:23:44 +0000 2015,Hideous traffic on the A14. Must remember to pay closer attention to the traffic reports...,1013187241,84,211,251,837,0,1
17,6.37208E+17,Fri Aug 28 10:20:38 +0000 2015,Packing and purging. Feels good 😊👍🏼,1013187241,84,211,251,837,0,1
18,6.37182E+17,Fri Aug 28 08:36:30 +0000 2015,In B&amp;Q looking at internal doors. Fun times 😉,1013187241,84,211,251,837,0,1
19,6.37145E+17,Fri Aug 28 06:10:11 +0000 2015,"Time to get up. So many things to do, such a busy day ahead...",1013187241,84,211,251,837,0,1
20,6.37133E+17,Fri Aug 28 05:23:24 +0000 2015,It's 6:20... do I get up or lie here a little longer with my cat buddy... ❓,1013187241,84,211,251,837,0,1
21,6.37133E+17,Fri Aug 28 05:20:16 +0000 2015,There's nothing like cocktails and exhaustion to aid a good night's  sleep...,1013187241,84,211,251,837,0,1
22,6.36997E+17,Thu Aug 27 20:20:44 +0000 2015,Great night out with my favourite ladies. Much needed after the past few days. I love them so much 💕,1013187241,84,211,251,837,0,1
23,6.36604E+17,Wed Aug 26 18:19:43 +0000 2015,Sat down on the sofa for a quick rest... an hour ago. Need to move.,1013187241,84,211,251,837,0,1
24,6.36563E+17,Wed Aug 26 15:35:21 +0000 2015,How much do I want pizza right now...?,1013187241,84,211,251,837,0,1
25,6.36444E+17,Wed Aug 26 07:42:51 +0000 2015,"I will always love you.

Peter Gabriel - In Your Eyes http://t.co/foAexmvoid",1013187241,84,211,251,837,0,1
26,6.36442E+17,Wed Aug 26 07:36:08 +0000 2015,Such a busy day ahead. I need to focus but I'm feeling on the edge of derailment right now.,1013187241,84,211,251,837,0,1
27,6.3644E+17,Wed Aug 26 07:28:04 +0000 2015,Even now the smallest thing still makes my heart break. I doesn't feel like that ever goes away.,1013187241,84,211,251,837,0,1
28,6.36429E+17,Wed Aug 26 06:46:15 +0000 2015,"Why is choosing a curtain pole suddenly so confusing? Too. Many. Choices. And yes, I know this isn't a 'real' problem.",1013187241,84,211,251,837,0,1
29,6.36243E+17,Tue Aug 25 18:25:06 +0000 2015,Completed on my house. Got the keys. What a fab day! Whoop! 🏡🎉💕,1013187241,84,211,251,837,0,1
30,6.3609E+17,Tue Aug 25 08:18:30 +0000 2015,"RT @CPHighWycombe: @CatsProtection Hi - could you retweet our long stayers, Sammy and Suki? Photographed them today...buckscats.org.uk http…",1013187241,84,211,251,837,70,1
31,6.3605E+17,Tue Aug 25 05:39:04 +0000 2015,Big day today 🏡😁🎉,1013187241,84,211,251,837,0,1
32,6.35927E+17,Mon Aug 24 21:29:56 +0000 2015,How lovely #PandaStory  https://t.co/GgaVEkymp7,1013187241,84,211,251,837,0,1
33,6.35883E+17,Mon Aug 24 18:35:17 +0000 2015,RT @SewHQ: The weather outside is frightful...but our makes are so delightful! Here's a sneak peak of October issue's projects! http://t.co…,1013187241,84,211,251,837,4,1
34,6.3588E+17,Mon Aug 24 18:21:05 +0000 2015,That's good news at least https://t.co/1S0L7ZAqjr,1013187241,84,211,251,837,0,1
35,6.35879E+17,Mon Aug 24 18:20:37 +0000 2015,Had a headache so took a nap. For three hours! Woke up a bit confused as to time and day... 😴,1013187241,84,211,251,837,0,1
36,6.35829E+17,Mon Aug 24 15:02:17 +0000 2015,RT @deliciousmag: On a budget? We have 21 recipes for £1.50 or less a head and they don't compromise on flavour. http://t.co/0CGzPXJLrP htt…,1013187241,84,211,251,837,16,1
37,6.35828E+17,Mon Aug 24 14:55:00 +0000 2015,RT @RSPCA_official: RT @ncolondon: @RSPCA_official Please RT for us.... 80yr old dog owner getting very distraught over his lost dog 😓 http…,1013187241,84,211,251,837,238,1
38,6.35824E+17,Mon Aug 24 14:40:28 +0000 2015,"RT @BBCCambs: Flying displays by vintage jets ""significantly restricted"" until further notice by CAA - limited to fly pasts.",1013187241,84,211,251,837,1,1
39,6.35719E+17,Mon Aug 24 07:41:37 +0000 2015,"RT @craftsbeautiful: Happy #Monday, crafters! If you need a bit of a pick-me-up to get you started, check this out: http://t.co/5xa87FWND4 …",1013187241,84,211,251,837,4,1
40,6.35717E+17,Mon Aug 24 07:36:23 +0000 2015,They don't sleep like this now 💕... #catsoftwitter http://t.co/sya7RRr2Fa http://t.co/AgJ2tx5f93,1013187241,84,211,251,837,0,1
41,6.35711E+17,Mon Aug 24 07:12:24 +0000 2015,Truly so awful 😟 https://t.co/jI4Lw4K8co,1013187241,84,211,251,837,0,1
42,6.35711E+17,Mon Aug 24 07:10:25 +0000 2015,I don't understand this. What does it achieve?!😕Palmyra's Baalshamin temple 'blown up by IS' http://t.co/XvuLGzu73Q,1013187241,84,211,251,837,0,1
43,6.35699E+17,Mon Aug 24 06:21:48 +0000 2015,"RT @designtaxi: Cigarettes made out of green tea leaves, claim to help you quit smoking http://t.co/F7MVaZdBis http://t.co/HaKwgTO1fO",1013187241,84,211,251,837,34,1
44,6.35569E+17,Sun Aug 23 21:48:16 +0000 2015,Not having to get up in the morning for two whole weeks. Bliss. 😊,1013187241,84,211,251,837,0,1
45,6.35544E+17,Sun Aug 23 20:06:21 +0000 2015,I feel like an invisible hand is trying to remove both my eyeballs with a spoon 😖,1013187241,84,211,251,837,0,1
46,6.35542E+17,Sun Aug 23 20:01:04 +0000 2015,RT @designtaxi: ‘Hair tapestry’ is the latest hair trend http://t.co/nEqzTNqVjJ http://t.co/WrjBKlcVvo,1013187241,84,211,251,837,12,1
